|R01|00000000000000000001|S|IF     |SWEDA               |IF ST200            |01.00.01  |20101030|185909|000|10793118000178|123456        |10793118000178|00000000ISENTO|00000000ISENTO|T2TI.COM                                |T2Ti PDV                                |0100      |9e107d9d372bb6826bd81d3542a419d6|20101030|20101030|0105
|R02|00000000000000000001|S|IF ST200            |01|000000|000026|000002|36101028|36101028||1005,70| 
|R03|00000000000000000001|S|IF ST200            |01|000002|TaT17  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|0T7    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|0T7    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|10S7   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|10S7   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|11S12  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|11S12  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|12S17  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|12S17  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|13S25  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|13S25  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|14S8   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|14S8   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|15S13  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|15S13  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|1T12   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|1T12   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|2T17   |125,00
|R03|00000000000000000001|S|IF ST200            |01|000009|2T17   |125,00
|R03|00000000000000000001|S|IF ST200            |01|000009|3T25   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|3T25   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|4T8    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|4T8    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|5T13   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|5T13   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|6T18   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|6T18   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|7T26   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|7T26   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|8T545  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|8T545  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|9T1087 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|9T1087 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|Can-T  |375,00
|R03|00000000000000000001|S|IF ST200            |01|000009|Can-T  |375,00
|R03|00000000000000000001|S|IF ST200            |01|000009|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000009|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|0T7    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|10S7   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|11S12  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|12S17  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|13S25  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|14S8   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|15S13  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|1T12   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|2T17   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|3T25   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|4T8    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|5T13   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|6T18   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|7T26   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|8T545  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|9T1087 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|Can-T  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000010|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|Can-T  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|S01S17 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|S02S5  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|S03S7  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|S04S10 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|T01T17 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|T02T5  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|T03T7  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|T04T10 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000014|T05T12 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|Can-T  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|S01S17 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|S02S5  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|S03S7  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|S04S10 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|T01T17 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|T02T5  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|T03T7  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|T04T10 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000016|T05T12 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|Can-T  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|S01S17 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|S02S5  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|S03S7  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|S04S10 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|T01T17 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|T02T5  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|T03T7  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|T04T10 |0,00
|R03|00000000000000000001|S|IF ST200            |01|000017|T05T12 |0,00
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|18368,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|2626,70|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|2875,20|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|362,70|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100913|63879,20|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|1037,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|141,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100914|89,70|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100915|1,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100915|1,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100915|3,30|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000000|000000|20100915|3,30|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,00|0,00|V|0,00|V|0,00|S|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,70|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|0,70|0,00|V|0,00|V|0,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|1,50|0,00|V|0,00|V|0,00|N|0,00|D|albert eije                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|2,30|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000001|000001|20100915|42,60|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
